,Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,FI,LN,pk
196,2013,alec lemon,Syracuse,WR,73.25,202,8.48,31.18,,4.59,7,32,112,4.29,7.04,,a,lemon,a-lemon-2013
231,2013,aaron mellette,Elon (NC),WR,74.38,217,9.58,33.18,,4.54,9,33.5,123,4.41,7.11,,a,mellette,a-mellette-2013
239,2013,t.j. moe,Missouri,WR,71.5,204,9.78,30.18,,4.74,26,36,120,3.96,6.53,10.87,t,moe,t-moe-2013
255,2013,cordarrelle patterson,Tennessee,WR,73.88,216,9.08,31.68,11,4.42,,37,128,4.4,7.28,,c,patterson,c-patterson-2013
256,2013,quinton patton,Louisiana Tech,WR,72,204,9.38,32.78,,4.53,8,33,118,4.01,6.91,,q,patton,q-patton-2013
278,2013,denard robinson,Michigan,WR,70.5,199,9.08,32.58,,4.43,,36.5,123,4.22,7.09,,d,robinson,d-robinson-2013
279,2013,darick rogers,Tennessee Tech,WR,74.5,217,9.48,32.68,,4.52,10,39.5,132,4.06,6.71,11.31,d,rogers,d-rogers-2013
280,2013,zach rogers,Tennessee,WR,72.13,182,9.38,30.5,,4.46,13,32,115,4.22,6.76,,z,rogers,z-rogers-2013
284,2013,lanear sampson,Baylor,WR,71.13,204,9.28,30.68,,4.46,20,33.5,119,4.38,7.1,11.87,l,sampson,l-sampson-2013
285,2013,ace sanders,South Carolina,WR,67,173,8.78,29.48,,4.58,7,32,117,4.37,6.81,11.29,a,sanders,a-sanders-2013
298,2013,mike smith,Kansas,WR,72,197,9.75,31,,4.59,10,33,118,4.37,7.03,,m,smith,m-smith-2013
300,2013,rodney smith,Florida State,WR,76.38,225,10.38,34.68,,4.51,,34.5,120,4.07,7.03,11.84,r,smith,r-smith-2013
302,2013,ryan spadola,Lehigh (PA),WR,73.25,204,9.68,30.68,,4.48,15,33.5,119,4.07,6.72,11.35,r,spadola,r-spadola-2013
311,2013,kenny stills,Oklahoma,WR,72.5,194,9.08,30.48,,4.38,16,33.5,124,4.35,7.13,,k,stills,k-stills-2013
318,2013,ryan swope,Texas A&M,WR,72.13,205,8.48,31.38,,4.34,16,37,125,4.25,6.76,,r,swope,r-swope-2013
330,2013,kenbrell thompkins,Cincinnati,WR,72.63,193,8.68,32.28,,4.54,8,33.5,121,4.21,6.88,11.9,k,thompkins,k-thompkins-2013
340,2013,conner vernon,Duke,WR,72.25,196,9.28,30.48,,4.68,,32.5,125,4.22,6.93,11.34,c,vernon,c-vernon-2013
354,2013,markus wheaton,Oregon State,WR,71,189,9.18,32.68,,4.45,20,37,120,4.02,6.8,11.16,m,wheaton,m-wheaton-2013
369,2013,terrance williams,Baylor,WR,74,208,8.68,31.28,,4.52,11,32.5,119,4.32,7.01,11.5,t,williams,t-williams-2013
375,2013,marquess wilson,Washington State,WR,74.63,194,9.28,31.18,,4.51,7,34.5,122,4.33,6.65,,m,wilson,m-wilson-2013
382,2013,robert woods,Southern California,WR,72.38,201,9.28,31.08,23,4.51,14,33.5,117,4.47,7.15,,r,woods,r-woods-2013
0,2014,jared abbrederis,Wisconsin,WR,73,195,9.63,31.38,32,4.5,4,30.5,116,4.08,6.8,11.39,j,abbrederis,j-abbrederis-2014
2,2014,davante adams,Frenso State (CA),WR,72.88,212,9,32.63,,4.56,14,39.5,123,4.3,6.82,,d,adams,d-adams-2014
9,2014,torrence allen,West Texas A&M,WR,72,183,8.88,32.375,,4.41,15,40,129,4.56,7.14,,t,allen,t-allen-2014
13,2014,dri archer,Kent State (OH),WR,67.75,173,8.88,31,,4.26,20,38,122,4.06,6.86,,d,archer,d-archer-2014
21,2014,odell beckham,Louisiana State,WR,71.25,198,10,32.75,,4.43,7,38.5,122,3.94,6.69,10.93,o,beckham,o-beckham-2014
23,2014,kelvin benjamin,Florida State,WR,77,240,10.25,34.88,7,4.61,13,32.5,117,4.39,7.33,12.08,k,benjamin,k-benjamin-2014
39,2014,chris boyd,Vanderbilt,WR,76,206,9.63,32.63,,4.73,12,,,,,,c,boyd,c-boyd-2014
47,2014,corey brown,Ohio State,WR,71.38,178,9.38,31.75,,4.51,,33,115,4.22,7.16,11.94,c,brown,c-brown-2014
48,2014,john brown,Pittsburg State (KS),WR,70,179,8.5,30.5,,4.34,8,36.5,117,4.12,6.91,11.4,j,brown,j-brown-2014
52,2014,martavis bryant,Clemson,WR,75.75,211,9.5,32.63,14,4.42,16,39,123,4.15,7.18,,m,bryant,m-bryant-2014
55,2014,isaiah burse,Frenso State (CA),WR,70.38,188,8.38,30.25,,4.58,16,31,114,3.94,6.74,11.53,i,burse,i-burse-2014
56,2014,trey burton,Florida,WR,74.13,224,9.38,31,,4.62,,30,111,4.32,7.14,,t,burton,t-burton-2014
58,2014,michael campanaro,Wake Forest,WR,69.38,192,9.75,30,,4.46,20,39,122,4.01,6.77,,m,campanaro,m-campanaro-2014
69,2014,brandon coleman,Rutgers,WR,78,225,9.25,34,,4.56,21,32.5,,4.51,7.33,,b,coleman,b-coleman-2014
71,2014,kain colter,Northwestern,WR,70.5,198,10,31,,4.71,11,,,4.2,6.68,,k,colter,k-colter-2014
73,2014,brandin cooks,Oregon State,WR,69.75,189,9.63,30.75,,4.33,16,36,120,3.81,6.76,10.72,b,cooks,b-cooks-2014
74,2014,damian copeland,Louisville,WR,71,184,9,31.38,,4.5,12,40,120,3.9,6.53,10.84,d,copeland,d-copeland-2014
81,2014,mike davis,Texas,WR,72,197,9.38,30.25,,4.52,10,34,116,4.18,7,11.65,m,davis,m-davis-2014
97,2014,bruce ellington,South Carolina,WR,69.38,197,9.63,31,,4.45,15,39.5,120,3.95,6.69,11.12,b,ellington,b-ellington-2014
100,2014,quincy enunwa,Nebraska,WR,74,225,9.5,32.63,,4.41,19,,,,,,q,enunwa,q-enunwa-2014
101,2014,mike evans,Texas A&M,WR,76.75,231,9.63,35.13,25,4.53,12,37,,4.26,7.08,11.58,m,evans,m-evans-2014
102,2014,shaquelle evans,UCLA,WR,73.25,213,9.38,32,,4.51,13,34.5,122,4.21,7.07,,s,evans,s-evans-2014
116,2014,bennie fowler,Michigan State,WR,73.25,217,9.5,32,,4.52,18,36,125,4.18,7.06,11.52,b,fowler,b-fowler-2014
117,2014,austin franklin,New Mexico State,WR,70.63,189,10,31.25,,4.56,7,36,123,4.33,7.07,11.7,a,franklin,a-franklin-2014
125,2014,jeremy gallon,Michigan,WR,67.5,185,9.38,29.5,,4.49,15,39.5,130,4.26,7.07,,j,gallon,j-gallon-2014
136,2014,ryan grant,Tulane (LA),WR,72.38,199,9.63,31,,4.64,8,35.5,117,4.11,6.68,11.63,r,grant,r-grant-2014
148,2014,matt hazel,Coastal Carolina (SC),WR,73,198,9.13,31.38,,4.5,15,36.5,116,4.2,7.08,11.6,m,hazel,m-hazel-2014
151,2014,robert herron,Wyoming,WR,69.13,193,9.75,30.5,,4.48,18,35.5,124,4.27,6.84,,r,herron,r-herron-2014
156,2014,cody hoffman,Brigham Young,WR,75.88,223,9.75,33.25,,4.65,13,27.5,108,4.2,6.89,,c,hoffman,c-hoffman-2014
159,2014,josh huff,Oregon,WR,71.25,206,9.38,31.25,,4.51,14,35.5,115,4.12,6.96,,j,huff,j-huff-2014
161,2014,allen hurns,Miami (FL),WR,73.25,198,9.25,32,,4.55,14,31,120,4.5,7.23,,a,hurns,a-hurns-2014
172,2014,jeff janis,Saginaw Valley State (MI),WR,74.88,219,9,32.5,,4.42,20,37.5,123,3.98,6.64,,j,janis,j-janis-2014
186,2014,t.j. jones,Notre Dame,WR,71.63,188,10,30.625,,4.48,,33,117,4.27,6.82,,t,jones,t-jones-2014
195,2014,jarvis landry,Louisiana State,WR,71.5,205,10.25,31.75,,4.65,12,28.5,110,4.59,7.56,,j,landry,j-landry-2014
197,2014,cody latimer,Indiana,WR,74.5,215,9.63,32.63,,4.52,23,39,,,,,c,latimer,c-latimer-2014
200,2014,marqise lee,Southern California,WR,71.75,192,9.5,31.75,,4.52,11,38,126,4.01,6.96,,m,lee,m-lee-2014
212,2014,marcus lucas,Missouri,WR,75.75,218,9.38,33.63,,4.6,20,36,123,4.25,7.07,,m,lucas,m-lucas-2014
228,2014,jordan matthews,Vanderbilt,WR,75.13,212,10.38,33.25,29,4.46,21,35.5,120,4.18,6.95,11.84,j,matthews,j-matthews-2014
240,2014,donte moncrief,Mississippi,WR,74.38,221,9.13,32.38,,4.4,13,39.5,132,4.3,7.02,,d,moncrief,d-moncrief-2014
255,2014,kevin norwood,Alabama,WR,74,198,10,32.13,,4.48,8,33,121,4.32,6.68,11.46,k,norwood,k-norwood-2014
268,2014,walter powell,Murray State (KY),WR,71.38,189,9.5,31.625,,4.63,10,31.5,120,4.23,6.7,,w,powell,w-powell-2014
277,2014,tevin reese,Baylor,WR,70.5,163,8.63,31.63,,4.46,,41,132,4.18,6.63,,t,reese,t-reese-2014
286,2014,paul richardson,Colorado,WR,72.38,175,8.88,32.63,,4.4,,38,123,4.23,7.09,,p,richardson,p-richardson-2014
290,2014,allen robinson,Penn State,WR,74.63,220,9.5,32,,4.6,,39,126,4,7,11.36,a,robinson,a-robinson-2014
297,2014,jalen saunders,Oklahoma,WR,68.88,165,8.88,30,,4.44,,34,122,4.34,7.29,,j,saunders,j-saunders-2014
315,2014,willie snead,Ball State (IN),WR,71,195,10.25,33,,4.62,11,33.5,112,4.39,7.19,11.96,w,snead,w-snead-2014
323,2014,josh stewart,Oklahoma State,WR,69.88,178,9.38,30,,4.69,11,35,116,4.33,7.1,,j,stewart,j-stewart-2014
327,2014,devin street,Pittsburgh,WR,74.88,198,9.25,33.38,,4.55,,37,123,4.01,6.89,,d,street,d-street-2014
355,2014,l'damian washington,Missouri,WR,75.88,195,9,33.38,,4.46,8,32,114,4.35,7.19,,l,washington,l-washington-2014
359,2014,sammy watkins,Clemson,WR,72.75,211,9.63,32,,4.43,16,34,125,4.34,6.95,,s,watkins,s-watkins-2014
374,2014,albert wilson,Georgia State,WR,69.38,202,9.13,30.38,,4.43,10,37.5,123,4.21,7,,a,wilson,a-wilson-2014
1,2015,nelson agholor,Southern California,WR,72.13,198,9.25,32.25,,4.42,12,36.5,125,4.34,6.83,,n,agholor,n-agholor-2015
7,2015,mario alford,West Virginia,WR,68.5,180,9.38,31.25,,4.43,13,34,121,4.07,6.64,11.22,m,alford,m-alford-2015
13,2015,dres anderson,Utah,WR,73.13,187,9.38,31.63,,4.53,13,,121,4.22,6.83,,d,anderson,d-anderson-2015
34,2015,dejuan beard,Washburn (KS),WR,73,195,,,,4.56,,,,,,,d,beard,d-beard-2015
38,2015,kenny bell,Nebraska,WR,73.13,197,9.25,31.63,,4.42,7,41.5,129,4.15,6.66,11.6,k,bell,k-bell-2015
43,2015,michael bennett,Georgia,WR,73.63,202,10.25,33.63,,4.59,,,,,,,m,bennett,m-bennett-2015
68,2015,da'ron brown,Northern Illinois,WR,72.13,205,10.25,32,,4.54,17,37,120,4.11,7.04,,d,brown,d-brown-2015
82,2015,damiere byrd,South Carolina,WR,69.25,162,8,29.875,,4.39,13,42,131,4.09,6.59,,d,byrd,d-byrd-2015
91,2015,deandre carter,Sacramento State (CA),WR,68.5,186,8.75,30.625,,4.48,17,38.5,126,3.8,6.64,,d,carter,d-carter-2015
107,2015,marquez clark,Central Oklahoma,WR,70.25,190,10,32,,4.58,12,34,124,4.23,7.07,,m,clark,m-clark-2015
109,2015,kaelin clay,Utah,WR,69.63,195,9,30.88,,4.51,10,33,113,4.26,6.97,,k,clay,k-clay-2015
114,2015,sammie coates,Auburn,WR,73.38,212,9.38,33.38,14,4.43,23,41,131,4.06,6.98,11.81,s,coates,s-coates-2015
124,2015,chris conley,Georgia,WR,73.88,213,9.88,33.75,,4.35,18,45,139,4.3,7.06,11.65,c,conley,c-conley-2015
126,2015,kenny cook,Gardner-Webb (NC),WR,75.38,215,10.38,34.5,,4.56,12,33,120,4.37,7.13,,k,cook,k-cook-2015
127,2015,amari cooper,Alabama,WR,72.88,211,10,31.5,21,4.42,,33,120,3.98,6.71,,a,cooper,a-cooper-2015
136,2015,jamison crowder,Duke,WR,68.38,185,8.75,30.38,,4.56,10,37,115,4.32,7.17,,j,crowder,j-crowder-2015
140,2015,davaris daniels,Notre Dame,WR,73.5,201,9,31.25,,4.62,13,37,122,4.35,6.81,,d,daniels,d-daniels-2015
144,2015,andre davis,South Florida,WR,72.88,207,9.5,34,,4.55,,32,118,4.33,7.09,,a,davis,a-davis-2015
146,2015,devante davis,Nevada Las Vegas,WR,74.88,220,9.5,32.38,,4.57,16,35.5,115,4.12,7.25,11.6,d,davis,d-davis-2015
148,2015,geremy davis,Connecticut,WR,74.38,216,9.5,32.25,,4.58,23,36.5,124,4.18,6.86,11.28,g,davis,g-davis-2015
151,2015,titus davis,Central Michigan,WR,72.75,196,8.25,29.63,,4.51,,32.5,119,4.28,7.14,,t,davis,t-davis-2015
157,2015,andre debose,Florida,WR,71.63,190,8.63,32.25,,4.49,12,37.5,123,4.09,6.93,,a,debose,a-debose-2015
166,2015,stefon diggs,Maryland,WR,72,195,10,31.25,,4.46,11,35,115,4.32,7.03,,s,diggs,s-diggs-2015
174,2015,phillip dorsett,Miami (FL),WR,69.75,185,9.38,30.25,,4.33,13,37,122,4.11,6.7,,p,dorsett,p-dorsett-2015
180,2015,quinton dunbar,Florida,WR,73.63,195,9.5,32.625,,4.44,7,35,120,4.16,7.1,,q,dunbar,q-dunbar-2015
183,2015,lemar durant,Simon Fraser (Canada),WR,73.63,231,10,31.125,,4.59,27,37,117,4.56,7.18,,l,durant,l-durant-2015
208,2015,george farmer,Southern California,WR,72.75,220,8.63,33,,4.38,19,34.5,123,4.27,7,,g,farmer,g-farmer-2015
224,2015,clay fuller,Baylor,WR,73,210,,,,4.55,,,,,,,c,fuller,c-fuller-2015
225,2015,devin funchess,Michigan,WR,76.25,232,9.75,33.5,,4.7,17,38.5,122,4.48,6.98,,d,funchess,d-funchess-2015
232,2015,devin gardner,Michigan,WR,75.5,217,9.5,33.125,,4.62,15,35.5,117,4.42,6.96,,d,gardner,d-gardner-2015
234,2015,keyarris garrett,Tulsa (OK),WR,75,206,9,34.5,,4.64,14,36.5,128,4.33,7.3,11.72,k,garrett,k-garrett-2015
245,2015,antwan goodley,Baylor,WR,70.25,209,9.25,30.75,,4.44,,35,127,4.38,7.19,,a,goodley,a-goodley-2015
255,2015,christian green,Florida State,WR,72.75,196,9,31.25,,4.54,16,34,122,4.45,7.04,,c,green,c-green-2015
256,2015,dorial green-beckham,Oklahoma,WR,77.13,237,9,32.5,20,4.49,13,33.5,119,4.45,6.89,11.89,d,green-beckham,d-green-beckham-2015
257,2015,deontay greenberry,Houston,WR,73,198,9.5,31.25,,4.64,21,35.5,116,4.31,7.23,,d,greenberry,d-greenberry-2015
258,2015,rashad greene,Florida State,WR,71.38,182,9,31.63,24,4.53,,36.5,122,4.12,6.88,,r,greene,r-greene-2015
271,2015,rannell hall,Central Florida,WR,72.38,198,8.63,30.5,,4.6,16,41,132,4.15,6.86,,r,hall,r-hall-2015
280,2015,justin hardy,East Carolina (NC),WR,70.25,192,10,32.13,,4.56,11,36.5,114,4.21,6.63,,j,hardy,j-hardy-2015
283,2015,chris harper,California,WR,70.75,176,9.13,31.875,,4.53,11,35,120,4.36,7.03,,c,harper,c-harper-2015
284,2015,josh harper,Frenso State (CA),WR,72.88,191,8.75,30.88,,4.64,13,32,108,4.36,7.15,12.26,j,harper,j-harper-2015
288,2015,r.j. harris,New Hampshire,WR,71.88,191,9.13,33.125,,4.68,18,37.5,127,4.2,7.23,,r,harris,r-harris-2015
295,2015,nick harwell,Kansas,WR,71.25,193,9.63,30.125,,4.57,9,34.5,123,4.2,6.73,,n,harwell,n-harwell-2015
313,2015,austin hill,Arizona,WR,74.13,214,9.75,31.625,,4.59,17,36.5,121,4.11,6.72,,a,hill,a-hill-2015
347,2015,anthony johnson,West Texas A&M,WR,73.75,194,10.38,33,,4.56,20,24.5,102,4.83,7.93,,a,johnson,a-johnson-2015
358,2015,vernon johnson,Texas A&M-Commerce,WR,72,188,9.75,31.375,,4.47,18,37,127,4.47,7.37,,v,johnson,v-johnson-2015
361,2015,chris jones,Alabama,WR,70.13,182,9,32.75,,4.63,8,32.5,119,4.19,6.91,,c,jones,c-jones-2015
365,2015,tebucky jones,Fordham (NY),WR,71,197,,,,4.53,,,,,,,t,jones,t-jones-2015
367,2015,tony jones,Northwestern,WR,71.38,197,8.88,30.75,,4.42,,,,,,,t,jones,t-jones-2015
372,2015,malcome kennedy,Texas A&M,WR,71.25,207,9.75,31.25,,4.57,10,31.5,119,4.26,7.1,,m,kennedy,m-kennedy-2015
376,2015,nigel king,Kansas,WR,74.13,213,9.5,31.625,,4.57,15,39.5,128,4.38,,,n,king,n-king-2015
382,2015,jake kumerow,Wisconsin-Whitewater,WR,76.5,209,9.5,31.875,,4.54,15,31,113,4.26,6.9,,j,kumerow,j-kumerow-2015
396,2015,dez lewis,Central Arkansas,WR,75.75,214,9.88,32.5,,4.58,16,33.5,119,4.28,7.11,,d,lewis,d-lewis-2015
397,2015,jameon lewis,Mississippi State,WR,68.25,184,9.25,29.25,,4.57,11,29,110,4.43,7.21,,j,lewis,j-lewis-2015
400,2015,tony lippett,Michigan State,WR,74.5,192,9.88,32.75,,4.61,10,36,114,4.13,6.92,11.44,t,lippett,t-lippett-2015
401,2015,tyler lockett,Kansas State,WR,69.88,182,8.38,30,,4.4,,35.5,121,4.07,6.89,11.14,t,lockett,t-lockett-2015
402,2015,deon long,Maryland,WR,71.63,192,9.5,31,,4.51,12,34,120,4.27,6.98,,d,long,d-long-2015
409,2015,keanon lowe,Oregon,WR,68.88,186,8.75,30.375,,4.46,10,35.5,108,4.33,6.94,,k,lowe,k-lowe-2015
411,2015,donatella luckett,Harding (AR),WR,71.75,211,9.25,31,,4.65,17,34,118,4.5,7.51,,d,luckett,d-luckett-2015
433,2015,kevonte martin-manley,Iowa,WR,72.13,205,9.38,32.125,,4.56,,35.5,124,4.21,6.94,,k,martin-manley,k-martin-manley-2015
439,2015,vince mayle,Washington State,WR,74,224,9,31.75,,4.67,,35.5,117,4.13,6.93,,v,mayle,v-mayle-2015
442,2015,tre mcbride,William & Mary (VA),WR,72.25,210,9,32.13,,4.41,16,38,122,4.08,6.96,11.7,t,mcbride,t-mcbride-2015
445,2015,justin mccay,Kansas,WR,74.13,210,9,33.25,,4.54,12,33,113,4.58,7.33,,j,mccay,j-mccay-2015
457,2015,matt miller,Boise State,WR,74.88,220,8.88,32.5,,4.79,9,34,114,4.43,7.12,,m,miller,m-miller-2015
460,2015,matt milton,Louisville,WR,77.38,205,8.88,34,,4.62,16,36,126,4.53,6.92,,m,milton,m-milton-2015
465,2015,ty montgomery,Stanford,WR,71.88,221,10.13,31,,4.55,16,40.5,121,4.21,6.97,11.57,t,montgomery,t-montgomery-2015
476,2015,keith mumphery,Michigan State,WR,71.63,215,9.13,31.13,,4.54,15,32.5,121,4.25,7.07,,k,mumphery,k-mumphery-2015
488,2015,j.j. nelson,Alabama-Birmingham,WR,70.25,156,8.25,31.13,,4.28,,36,127,4.15,7.02,11.89,j,nelson,j-nelson-2015
494,2015,levi norwood,Baylor,WR,72.5,193,9.63,30.875,,4.52,,34.5,123,4.19,6.78,,l,norwood,l-norwood-2015
515,2015,devante parker,Louisville,WR,74.63,209,9.25,33.25,15,4.45,17,36.5,125,,,,d,parker,d-parker-2015
521,2015,breshad perriman,Central Florida,WR,74,212,9.25,32,,4.52,18,36.5,127,,,,b,perriman,b-perriman-2015
530,2015,shakim phillips,Boston College,WR,73,206,9.5,32.375,,4.42,17,39,127,4.33,6.97,,s,phillips,s-phillips-2015
541,2015,kyle prater,Northwestern,WR,77.13,228,10.38,33.25,,4.58,20,31,121,4.24,7.07,,k,prater,k-prater-2015
559,2015,addison richards,Regina (Canada),WR,76.38,209,8.25,30.5,,4.67,,,,,,,a,richards,a-richards-2015
575,2015,jamal robinson,Louisiana-Lafayette,WR,75,205,,,,4.57,,,,,,,j,robinson,j-robinson-2015
585,2015,ezell ruffin,San Diego State,WR,71.63,218,8.75,31.13,,4.68,17,27.5,110,4.58,7.35,12.59,e,ruffin,e-ruffin-2015
586,2015,dominic rufran,Wyoming,WR,71.5,188,9.13,30.5,,4.55,18,33.5,121,4.29,7.21,,d,rufran,d-rufran-2015
598,2015,bud sasser,Missouri,WR,74.63,210,10.13,33,,4.62,18,34.5,120,4.38,6.88,,b,sasser,b-sasser-2015
602,2015,ross scheuerman,Lafayette (PA),WR,71.88,204,8.75,30,,4.62,15,33,121,4.11,7.08,11.4,r,scheuerman,r-scheuerman-2015
604,2015,dawon scott,Miami (OH),WR,71,194,,,,4.54,,,,,,,d,scott,d-scott-2015
615,2015,jaxon shipley,Texas,WR,72.13,193,9.25,30.875,,4.54,10,35.5,128,4.37,6.82,,j,shipley,j-shipley-2015
618,2015,tommy shuler,Marshall (WV),WR,67,188,,,,4.68,,,,,,,t,shuler,t-shuler-2015
625,2015,deandre smelter,Georgia Tech,WR,74.13,226,11,32.63,,4.58,,,,,,,d,smelter,d-smelter-2015
627,2015,devin smith,Ohio State,WR,72.38,196,9,31,,4.42,10,39,122,4.15,6.83,,d,smith,d-smith-2015
638,2015,evan spencer,Ohio State,WR,73.38,208,10.13,31.875,,4.54,20,35,124,4.29,7.03,,e,spencer,e-spencer-2015
639,2015,neal sterling,Monmouth (NJ),WR,75.38,238,9.63,33.125,,4.63,16,35.5,116,4.25,7.07,,n,sterling,n-sterling-2015
643,2015,jaelen strong,Arizona State,WR,74.38,217,9,32.5,22,4.44,,42,123,4.21,7.34,,j,strong,j-strong-2015
644,2015,tacoi sumler,Appalachian State (NC),WR,67.63,175,9.25,29.375,,4.42,13,33,118,4.4,6.96,,t,sumler,t-sumler-2015
652,2015,jordan taylor,Rice (TX),WR,76.38,204,9.25,32.75,,4.54,9,36.5,122,4.46,6.69,,j,taylor,j-taylor-2015
694,2015,darren waller,Georgia Tech,WR,78.13,238,9,33.25,,4.46,12,37,125,4.25,7.07,11.35,d,waller,d-waller-2015
712,2015,jarrod west,Syracuse,WR,73.88,209,10.25,30.75,,4.53,19,35.5,122,4.19,7.06,,j,west,j-west-2015
714,2015,brandon white,San Diego,WR,74.13,205,,,,,,,,,,,b,white,b-white-2015
715,2015,darius white,Missouri,WR,75,208,9.38,31.75,,4.56,13,37.5,124,4.59,7.12,,d,white,d-white-2015
716,2015,deandrew white,Alabama,WR,71.5,193,9.13,31,,4.44,,34.5,118,4.18,6.97,,d,white,d-white-2015
718,2015,kevin white,West Virginia,WR,74.63,215,9.25,32.63,,4.35,23,36.5,123,4.14,6.92,11.52,k,white,k-white-2015
726,2015,jackie williams,Central Florida,WR,69.63,190,9.13,31.25,,4.59,17,39.5,129,4.34,6.58,,j,williams,j-williams-2015
729,2015,kasen williams,Washington,WR,73.5,219,9.25,32.625,,4.54,17,35.5,119,4.47,7.05,,k,williams,k-williams-2015
737,2015,tyrell williams,Western Oregon,WR,75.5,204,9.88,33.5,,4.43,,39.5,127,4.17,6.74,,t,williams,t-williams-2015
740,2015,demetrius wilson,Arkansas,WR,73.38,185,9.25,31,,4.49,4,35,124,4.34,6.65,,d,wilson,d-wilson-2015
746,2015,cam worthy,East Carolina (NC),WR,74.25,211,10.13,33.5,,4.59,12,,,,,,c,worthy,c-worthy-2015
747,2015,j.j. worton,Central Florida,WR,73,209,9.88,30.75,,4.63,,,,,,,j,worton,j-worton-2015
750,2015,shane wynn,Indiana,WR,66,167,8.88,29.5,,4.38,13,36,120,4.25,6.89,,s,wynn,s-wynn-2015
3,2016,bralon addison,Oregon,WR,69.25,197,9.13,29.5,,4.66,13,34.5,116,4.14,6.95,11.53,b,addison,b-addison-2016
10,2016,geronimo allison,Illinois,WR,75.25,196,9.5,32.88,,4.67,,33,127,4.28,7.4,11.54,g,allison,g-allison-2016
11,2016,robby anderson,Temple,WR,74.88,187,8.63,30,,4.36,8,36.5,128,4.27,7.07,,r,anderson,r-anderson-2016
15,2016,demarcus ayers,Houston,WR,69.38,182,9.25,31.25,,4.72,,33,123,4.35,7.3,,d,ayers,d-ayers-2016
32,2016,moritz boehringer,Schwabisch Hall,WR,76.5,227,9.5,32.625,,4.49,17,39,131,4.09,6.64,,m,boehringer,m-boehringer-2016
37,2016,tyler boyd,Pittsburgh,WR,73.5,197,9.75,32,,4.58,11,34,119,4.35,6.9,,t,boyd,t-boyd-2016
41,2016,daniel braverman,Western Michigan,WR,69.88,175,9.13,28.75,,4.53,10,28.5,112,4.16,6.88,,d,braverman,d-braverman-2016
50,2016,chris brown,Notre Dame,WR,74,194,9,32.25,,4.5,14,33.5,130,4.41,7.37,,c,brown,c-brown-2016
56,2016,aaron burbridge,Michigan State,WR,72,206,8.25,31.63,,4.56,20,30.5,115,4.31,7.22,11.9,a,burbridge,a-burbridge-2016
65,2016,devon cajuste,Stanford,WR,75.75,234,10.75,33,,4.62,12,36,123,4.2,6.49,11.5,d,cajuste,d-cajuste-2016
71,2016,leonte carroo,Rutgers,WR,71.88,211,9.63,31.38,,4.5,14,35.5,120,,,,l,carroo,l-carroo-2016
80,2016,corey coleman,Baylor,WR,70.63,194,9,30.25,,4.4,17,40.5,129,,,,c,coleman,c-coleman-2016
89,2016,pharoh cooper,South Carolina,WR,71.13,203,9.13,32.25,,4.65,15,31,115,4.26,7.15,,p,cooper,p-cooper-2016
91,2016,cody core,Mississippi,WR,74.63,205,10.38,32,,4.47,14,31.5,119,4.34,6.78,,c,core,c-core-2016
102,2016,quinshad davis,North Carolina,WR,75.38,218,9.63,33.375,,4.69,17,31.5,113,4.35,7.07,,q,davis,q-davis-2016
104,2016,trevor davis,California,WR,73.13,188,10,31,,4.42,11,38.5,124,4.22,6.6,10.94,t,davis,t-davis-2016
114,2016,josh doctson,Texas Christian,WR,74,202,9.88,31.88,,4.5,14,41,131,4.08,6.84,11.06,j,doctson,j-doctson-2016
137,2016,d.j. foster,Arizona State,WR,70.25,193,9.25,30.5,,4.57,14,35.5,117,4.07,6.75,11.12,d,foster,d-foster-2016
141,2016,devin fuller,UCLA,WR,72,194,9.5,30.5,,4.39,,36,124,4.07,7.03,,d,fuller,d-fuller-2016
143,2016,will fuller,Notre Dame,WR,72.13,186,8.25,30.75,,4.32,10,33.5,126,4.27,6.93,11.44,w,fuller,w-fuller-2016
145,2016,keyarris garrett,Tulsa (OK),WR,75.38,220,9,34.5,,4.53,14,36.5,128,4.33,7.3,11.72,k,garrett,k-garrett-2016
152,2016,jakeem grant,Texas Tech,WR,65.88,165,8.63,29.75,,4.37,15,36.5,117,4.03,7.03,,j,grant,j-grant-2016
177,2016,rashard higgins,Colorado State,WR,73.38,196,9.75,32.25,,4.64,13,32,116,4.52,7.19,,r,higgins,r-higgins-2016
178,2016,tyreek hill,West Alabama,WR,68.13,185,8,30.5,,4.29,13,40.5,129,4.06,6.53,,t,hill,t-hill-2016
181,2016,johnny holton,Cincinnati,WR,72.63,190,9.88,32.88,,4.54,8,31.5,123,4.2,6.9,,j,holton,j-holton-2016
207,2016,daje johnson,Texas,WR,68.38,184,8.88,27.875,,4.48,18,38,122,,,,d,johnson,d-johnson-2016
209,2016,marcus johnson,Texas,WR,72.88,204,9.25,31.875,,4.39,22,37,135,4.39,7.26,,m,johnson,m-johnson-2016
212,2016,cayleb jones,Arizona,WR,74.63,209,9.25,32.75,,4.65,9,33.5,112,4.14,6.99,11.46,c,jones,c-jones-2016
218,2016,malachi jones,Appalachian State (NC),WR,73.75,211,9.63,32.25,,4.53,14,37.5,125,4.3,6.9,,m,jones,m-jones-2016
