PK2,Unnamed: 0,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year,PPRPoints,PPG,PK,response
darrel young+2010,1705.0,128.0,74.0,28.0,49.0,37.0,0.0,0.0,0.0,125.0,7.0,37.0,323.0,4.0,147.79999999999998,0.0,1.0,0.0,10063,147.8,1.9972972972972975,darrel young+2010,3
darrell henderson+2019,437.0,69.0,40.0,21.0,70.0,49.0,0.0,0.0,0.0,1459.0,10.0,326.0,372.0,4.0,270.4,0.0,0.0,0.0,6060,316.1,7.902500000000001,darrell henderson+2019,2
darrell thompson+1993,571.0,53.0,24.0,11.0,29.0,18.0,0.0,0.0,0.0,652.0,3.0,171.0,129.0,0.0,110.1,0.0,2.0,0.0,3987,114.10000000000001,4.754166666666667,darrell thompson+1993,3
darren mcfadden+2008,832.0,168.0,83.0,63.0,303.0,211.0,16.0,1.0,3.0,4247.0,25.0,1038.0,1769.0,5.0,973.24,0.0,17.0,12.0,14077,973.24,11.72578313253012,darren mcfadden+2008,1
darren mcfadden+2015,39.0,28.0,16.0,10.0,53.0,40.0,0.0,0.0,1.0,1089.0,3.0,239.0,328.0,0.0,193.7,0.0,3.0,3.0,2015,193.70000000000002,12.106250000000001,darren mcfadden+2015,1
darren sproles+2005,1046.0,124.0,78.0,5.0,182.0,146.0,0.0,0.0,0.0,1154.0,6.0,249.0,1400.0,11.0,489.4,0.0,13.0,7.0,10039,489.4,6.274358974358974,darren sproles+2005,3
darren sproles+2011,222.0,87.0,44.0,14.0,304.0,232.0,0.0,0.0,0.0,1067.0,5.0,188.0,1981.0,16.0,658.8,0.0,3.0,2.0,6036,658.8000000000001,14.972727272727274,darren sproles+2011,1
darren sproles+2014,844.0,135.0,42.0,8.0,166.0,113.0,0.0,0.0,0.0,953.0,9.0,197.0,998.0,4.0,384.1,0.0,6.0,1.0,8067,384.1,9.145238095238096,darren sproles+2014,2
darrin reaves+2014,387.0,21.0,6.0,1.0,8.0,5.0,0.0,0.0,0.0,78.0,0.0,31.0,31.0,0.0,15.9,0.0,0.0,0.0,2014,15.9,2.65,darrin reaves+2014,3
darrynton evans+2020,0.0,22.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,54.0,0.0,14.0,27.0,1.0,14.0,0.0,0.0,0.0,2020,16.1,3.22,darrynton evans+2020,3
darwin thompson+2019,318.0,46.0,26.0,1.0,21.0,16.0,0.0,0.0,0.0,225.0,2.0,64.0,108.0,1.0,58.1,0.0,2.0,1.0,4039,65.30000000000001,2.511538461538462,darwin thompson+2019,3
daryl johnston+1993,1293.0,177.0,86.0,82.0,273.0,203.0,0.0,0.0,0.0,391.0,7.0,121.0,1449.0,7.0,462.99999999999994,0.0,6.0,3.0,11973,464.99999999999994,5.4069767441860455,daryl johnston+1993,3
daryl richardson+2012,465.0,45.0,24.0,3.0,54.0,38.0,0.0,0.0,0.0,690.0,0.0,167.0,284.0,0.0,131.4,0.0,3.0,2.0,4025,131.4,5.4750000000000005,daryl richardson+2012,3
david allen+2003,830.0,51.0,19.0,0.0,9.0,8.0,0.0,0.0,0.0,8.0,0.0,4.0,68.0,1.0,21.6,0.0,4.0,0.0,4007,21.6,1.1368421052631579,david allen+2003,3
david cobb+2015,338.0,22.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,146.0,1.0,52.0,-2.0,0.0,21.4,0.0,0.0,0.0,2015,21.400000000000002,3.0571428571428574,david cobb+2015,3
david fluellen+2017,973.0,51.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,8.0,0.0,0.0,3.7,0.0,0.0,0.0,4035,3.7,0.16086956521739132,david fluellen+2017,4
david johnson+2011,335.0,24.0,16.0,16.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1.0,27.1,0.0,0.0,0.0,2011,27.1,1.69375,david johnson+2011,3
david johnson+2015,166.0,104.0,61.0,46.0,300.0,202.0,0.0,0.0,0.0,3105.0,33.0,770.0,2152.0,15.0,1001.7,0.0,13.0,7.0,8068,1001.6999999999999,16.421311475409833,david johnson+2015,1
david johnson+2020,230.0,59.0,25.0,16.0,88.0,65.0,0.0,0.0,0.0,919.0,6.0,214.0,539.0,3.0,196.0,0.0,3.0,2.0,4041,260.8,10.432,david johnson+2020,2
david lang+1993,657.0,51.0,19.0,0.0,24.0,12.0,0.0,0.0,0.0,63.0,0.0,15.0,105.0,0.0,26.8,0.0,2.0,1.0,3987,26.799999999999997,1.4105263157894736,david lang+1993,3
david lang+1995,430.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,1995,0.7000000000000001,0.043750000000000004,david lang+1995,4
david montgomery+2019,133.0,69.0,44.0,35.0,154.0,121.0,0.0,0.0,1.0,2808.0,21.0,714.0,924.0,3.0,534.4,1.0,4.0,4.0,6060,628.2,14.27727272727273,david montgomery+2019,1
david palmer+2000,523.0,28.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.2,0.0,1.0,1.0,2000,-1.2,-0.19999999999999998,david palmer+2000,4
david thomas+2009,237.0,26.0,15.0,8.0,48.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,1.0,76.6,0.0,0.0,0.0,2009,76.6,5.1066666666666665,david thomas+2009,3
david williams+2018,465.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,8.0,0.0,0.0,3.6,0.0,0.0,0.0,2018,3.6,0.6,david williams+2018,4
david wilson+2012,505.0,43.0,21.0,6.0,15.0,6.0,0.0,0.0,0.0,504.0,5.0,115.0,42.0,1.0,90.59999999999997,0.0,3.0,3.0,4025,90.60000000000002,4.314285714285715,david wilson+2012,3
de dorsey+2007,723.0,47.0,16.0,2.0,8.0,6.0,0.0,0.0,0.0,191.0,0.0,26.0,68.0,0.0,31.90000000000001,0.0,0.0,0.0,4015,31.9,1.99375,de dorsey+2007,3
de'angelo henderson+2017,377.0,25.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,0.0,7.0,36.0,1.0,12.9,0.0,0.0,0.0,2017,12.9,2.58,de'angelo henderson+2017,3
de'lance turner+2018,496.0,23.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,17.0,0.0,4.1000000000000005,0.0,0.0,0.0,2018,4.1,1.025,de'lance turner+2018,4
de'lance turner+2019,533.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.6,0.0,0.0,0.0,2019,0.6000000000000001,0.07500000000000001,de'lance turner+2019,4
de'mond parker+1999,580.0,47.0,19.0,0.0,17.0,13.0,0.0,0.0,0.0,269.0,2.0,54.0,65.0,0.0,58.4,0.0,1.0,0.0,3999,58.400000000000006,3.073684210526316,de'mond parker+1999,3
de'veon smith+2017,479.0,23.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,5.7,0.0,0.0,0.0,2017,5.7,1.1400000000000001,de'veon smith+2017,3
deandre washington+2016,932.0,98.0,55.0,5.0,110.0,88.0,0.0,0.0,0.0,1122.0,7.0,282.0,613.0,1.0,303.5,0.0,4.0,3.0,8070,303.5,5.5181818181818185,deandre washington+2016,3
deandre washington+2020,0.0,27.0,4.0,1.0,10.0,5.0,0.0,0.0,0.0,91.0,0.0,31.0,30.0,0.0,12.0,0.0,0.0,0.0,2020,17.1,4.275,deandre washington+2020,3
deangelo williams+2006,1025.0,243.0,117.0,82.0,245.0,178.0,0.0,0.0,0.0,6846.0,46.0,1432.0,1621.0,7.0,1322.7,0.0,12.0,10.0,18090,1322.7,11.305128205128206,deangelo williams+2006,1
deangelo williams+2015,157.0,65.0,25.0,14.0,74.0,58.0,0.0,0.0,0.0,1250.0,15.0,298.0,485.0,2.0,329.5,0.0,4.0,2.0,4031,329.5,13.18,deangelo williams+2015,1
dee brown+2002,158.0,24.0,14.0,3.0,33.0,17.0,0.0,0.0,1.0,360.0,4.0,102.0,86.0,1.0,81.6,1.0,4.0,4.0,2002,81.6,5.828571428571428,dee brown+2002,3
